,method,iter,train_test,n,p,mse,r2
126,ConstantImputedLR,0,train,3750.0,6,1.9621751656180106,0.7407264861229225
127,ConstantImputedLR,0,test,3750.0,6,1.9794814143494928,0.7438838185432513
128,ExpandedLR,0,train,3750.0,6,1.1274997662502788,0.851016957398286
129,ExpandedLR,0,test,3750.0,6,1.571813145201246,0.796630179099328
130,EMLR,0,train,3750.0,6,2.301788925796403,0.6958513625838242
131,EMLR,0,test,3750.0,6,2.1997047919390638,0.7153901079547718
132,MICELR,0,train,3750.0,6,2.0481871827259184,0.729361222561349
133,MICELR,0,test,3750.0,6,1.9882352455854524,0.742751199760868
134,"MLP W0.3, D1",0,train,3750.0,6,1.9823909154264248,0.7380552625847138
135,"MLP W0.3, D1",0,test,3750.0,6,1.9896417012097631,0.742569224804561
136,"MLP W0.5, D1",0,train,3750.0,6,1.616448406583844,0.7864093554338739
137,"MLP W0.5, D1",0,test,3750.0,6,1.6627415638812657,0.7848653606931495
138,"MLP W1, D1",0,train,3750.0,6,1.3641082435270053,0.8197525155729204
139,"MLP W1, D1",0,test,3750.0,6,1.3935620918288618,0.8196932797677325
140,"MLP W2, D1",0,train,3750.0,6,1.2665112008342156,0.8326485753367798
141,"MLP W2, D1",0,test,3750.0,6,1.4121771482340202,0.8172847614914153
142,"MLP W4, D1",0,train,3750.0,6,1.2003060745091856,0.8413966402596991
143,"MLP W4, D1",0,test,3750.0,6,1.3815741861216269,0.8212443408745171
144,ConstantImputedLR,0,train,7500.0,6,1.9484270717687884,0.7466667716481992
145,ConstantImputedLR,0,test,7500.0,6,1.9940726572954777,0.7547529994284042
146,ExpandedLR,0,train,7500.0,6,1.1935552370398135,0.8448147196286875
147,ExpandedLR,0,test,7500.0,6,1.3236389604874907,0.8372082964421488
148,EMLR,0,train,7500.0,6,2.3128513271112476,0.6992845655429447
149,EMLR,0,test,7500.0,6,2.499400473178905,0.6926037438847822
150,MICELR,0,train,7500.0,6,2.0430774010814656,0.7343603970156736
151,MICELR,0,test,7500.0,6,2.1360732887864975,0.7372886262898257
152,"MLP W0.3, D1",0,train,7500.0,6,1.9656846704888193,0.7444229498184314
153,"MLP W0.3, D1",0,test,7500.0,6,2.0157220697515243,0.7520903815696428
154,"MLP W0.5, D1",0,train,7500.0,6,1.5215667827050237,0.802166870497441
155,"MLP W0.5, D1",0,test,7500.0,6,1.5618290980718392,0.8079137686853093
156,"MLP W1, D1",0,train,7500.0,6,1.3869342376820495,0.8196717069709595
157,"MLP W1, D1",0,test,7500.0,6,1.4456948954191509,0.8221968815699594
158,"MLP W2, D1",0,train,7500.0,6,1.2786008505446331,0.8337571439367336
159,"MLP W2, D1",0,test,7500.0,6,1.3372843257614708,0.8355300803084968
160,"MLP W4, D1",0,train,7500.0,6,1.2187011536413255,0.8415452638072063
161,"MLP W4, D1",0,test,7500.0,6,1.3120651296829904,0.8386317387021598
162,ConstantImputedLR,0,train,18750.0,6,1.9912416917749296,0.7428638193997836
163,ConstantImputedLR,0,test,18750.0,6,1.9566370491421956,0.7451737229358409
164,ExpandedLR,0,train,18750.0,6,1.23973332179442,0.8399087902559506
165,ExpandedLR,0,test,18750.0,6,1.2806405948291675,0.8332133825327405
166,EMLR,0,train,18750.0,6,2.292295253489671,0.7039876933447804
