,method,iter,train_test,n,p,mse,r2
148,EMLR,0,train,7500.0,6,5.49920860618009,0.7211727580667449
149,EMLR,0,test,7500.0,6,5.493196414048986,0.7031047813165912
150,MICELR,0,train,7500.0,6,6.003541078142818,0.6956015091389054
151,MICELR,0,test,7500.0,6,5.906741080978783,0.6807535990414648
152,"MLP W0.3, D1",0,train,7500.0,6,7.373616124659654,0.626134377807944
153,"MLP W0.3, D1",0,test,7500.0,6,7.355601974462499,0.602445845342263
154,"MLP W0.5, D1",0,train,7500.0,6,6.534758724079143,0.6686670969916293
155,"MLP W0.5, D1",0,test,7500.0,6,6.636086448648889,0.6413340814949335
156,"MLP W1, D1",0,train,7500.0,6,5.914795139859485,0.7001012084550056
157,"MLP W1, D1",0,test,7500.0,6,6.088622401278075,0.6709233125753593
158,"MLP W2, D1",0,train,7500.0,6,5.645726503504064,0.7137438379929015
159,"MLP W2, D1",0,test,7500.0,6,5.954253508656559,0.6781856565281594
160,"MLP W4, D1",0,train,7500.0,6,5.42333927235269,0.7250195728747217
161,"MLP W4, D1",0,test,7500.0,6,5.8385460032431205,0.6844393934298978
162,ConstantImputedLR,0,train,18750.0,6,7.376742718585759,0.6293012030794987
163,ConstantImputedLR,0,test,18750.0,6,7.306122744800398,0.6120478447200951
164,ExpandedLR,0,train,18750.0,6,5.434012908185792,0.7269279783284706
165,ExpandedLR,0,test,18750.0,6,5.5335923817757235,0.7061684882753768
166,EMLR,0,train,18750.0,6,5.500398371934089,0.7235919515096823
167,EMLR,0,test,18750.0,6,5.459179425079831,0.7101197861031429
168,MICELR,0,train,18750.0,6,6.038281671020013,0.6965620414990741
169,MICELR,0,test,18750.0,6,5.9632554704540945,0.6833535524853063
170,"MLP W0.3, D1",0,train,18750.0,6,7.362584403441113,0.6300126919561972
171,"MLP W0.3, D1",0,test,18750.0,6,7.307790066749296,0.6119593106006703
172,"MLP W0.5, D1",0,train,18750.0,6,6.286489112191656,0.6840890295832289
173,"MLP W0.5, D1",0,test,18750.0,6,6.23699113894184,0.6688182994822844
174,"MLP W1, D1",0,train,18750.0,6,5.947364916152682,0.7011308238105842
175,"MLP W1, D1",0,test,18750.0,6,5.964545905065154,0.6832850309307014
176,"MLP W2, D1",0,train,18750.0,6,5.658291556548537,0.71565744493796
177,"MLP W2, D1",0,test,18750.0,6,5.713693891312962,0.6966051711460743
178,"MLP W4, D1",0,train,18750.0,6,5.483798286918513,0.7244261451068844
179,"MLP W4, D1",0,test,18750.0,6,5.63334610995273,0.7008716057570784
180,ConstantImputedLR,0,train,37500.0,6,7.463755724949389,0.6231427204688884
181,ConstantImputedLR,0,test,37500.0,6,7.360780282170235,0.627339631727243
182,ExpandedLR,0,train,37500.0,6,5.601931253519051,0.7171492945214503
183,ExpandedLR,0,test,37500.0,6,5.4982134466587205,0.7216373578169146
184,EMLR,0,train,37500.0,6,5.6285448153130115,0.7158055320959492
185,EMLR,0,test,37500.0,6,5.463276652408651,0.723406132065351
186,MICELR,0,train,37500.0,6,6.184212270760285,0.687748970051208
187,MICELR,0,test,37500.0,6,5.982831117600497,0.6971022144215733
188,"MLP W0.3, D1",0,train,37500.0,6,7.450485981803207,0.6238127315847976
189,"MLP W0.3, D1",0,test,37500.0,6,7.34814567420958,0.6279792945720919
190,"MLP W0.5, D1",0,train,37500.0,6,6.475153484737885,0.6730588705297877
191,"MLP W0.5, D1",0,test,37500.0,6,6.332278864100891,0.6794104316334955
192,"MLP W1, D1",0,train,37500.0,6,6.016623955071903,0.6962107792340042
193,"MLP W1, D1",0,test,37500.0,6,5.8945014866333505,0.7015741523878982
194,"MLP W2, D1",0,train,37500.0,6,5.765214116129186,0.7089048747326816
195,"MLP W2, D1",0,test,37500.0,6,5.655465268696875,0.7136760385456073
196,"MLP W4, D1",0,train,37500.0,6,5.6539918503436155,0.714520669521775
197,"MLP W4, D1",0,test,37500.0,6,5.5892310796550495,0.7170293321278601
198,ConstantImputedLR,0,train,75000.0,6,7.399141261725626,0.6265707000885845
